HPO,t_start,t_end
HP:0000001,13.33333,13.41666
HP:0000118,13.33333,13.41666
HP:0000478,13.25,13.33333
HP:0012372,13.25,13.33333
HP:0004329,13.33333,13.41666
HP:0001098,13.33333,13.41666
HP:0000479,13.25,13.33333
HP:0001103,13.41667,13.5
HP:0030506,13.25,13.33333
HP:0030500,13.33333,13.41666
HP:0007677,13.25,13.33333
HP:0000001,14.08333,14.16666
HP:0000118,14.08333,14.16666
HP:0025031,14.08333,14.16666
HP:0025032,14.08333,14.16666
HP:0011458,14,14.08333
HP:0002014,14.08333,14.16666
HP:0012823,13.25,13.33333
HP:0025280,13.41667,13.5
HP:0025281,13.25,13.33333
HP:0002086,13.41667,13.5
HP:0002795,13.33333,13.41666
HP:0002793,13.25,13.33333
HP:0002883,13.25,13.33333
HP:0000001,11.58333,11.66666
HP:0000118,11.5,11.58333
HP:0025142,11.5,11.58333
HP:0012378,11.58333,11.66666
HP:0000001,13.75,13.83333
HP:0000118,13.83333,13.91666
HP:0001626,13.83333,13.91666
HP:0011025,13.83333,13.91666
HP:0030956,13.91667,14
HP:0500015,13.83333,13.91666
HP:0003115,13.75,13.83333
HP:0000001,12.58333,12.66666
HP:0000118,12.66667,12.75
HP:0000707,12.5,12.58333
HP:0012639,12.58333,12.66666
HP:0002011,12.58333,12.66666
HP:0002269,12.5,12.58333
HP:0002282,12.5,12.58333
HP:0000707,11.66667,11.75
HP:0012638,11.66667,11.75
HP:0000708,11.58333,11.66666
HP:0000729,11.5,11.58333
HP:0000717,11.66667,11.75
HP:0000001,13.5,13.58333
HP:0000118,13.66667,13.75
HP:0001574,13.66667,13.75
HP:0011138,13.58333,13.66666
HP:0001595,13.58333,13.66666
HP:0010720,13.66667,13.75
HP:0011361,13.58333,13.66666
HP:0010721,13.58333,13.66666
HP:0002236,13.66667,13.75
HP:0000707,13.66667,13.75
HP:0012638,13.5,13.58333
HP:0011446,13.66667,13.75
HP:0012759,13.58333,13.66666
HP:0001249,13.5,13.58333
HP:0002342,13.66667,13.75
HP:0000152,11.66667,11.75
HP:0000234,11.66667,11.75
HP:0000271,11.58333,11.66666
HP:0001999,11.58333,11.66666
HP:0000324,11.66667,11.75
HP:0011331,11.5,11.58333
HP:0100022,11.58333,11.66666
HP:0001288,11.66667,11.75
HP:0000707,13.41667,13.5
HP:0012638,13.33333,13.41666
HP:0001298,13.41667,13.5
HP:0000707,14,14.08333
HP:0012638,14.08333,14.16666
HP:0000708,14.16667,14.25
HP:0031466,14,14.08333
HP:0100852,14.16667,14.25
HP:0000739,14,14.08333
HP:0032443,11.66667,11.75
HP:0025031,13.91667,14
HP:0025032,13.83333,13.91666
HP:0011458,13.75,13.83333
HP:0002019,13.91667,14
HP:0000001,11.25,11.33333
HP:0012638,12.5,12.58333
HP:0012759,12.66667,12.75
HP:0012758,12.66667,12.75
HP:0000750,12.5,12.58333
HP:0011446,12.5,12.58333
HP:0002167,12.58333,12.66666
HP:0001344,12.5,12.58333
HP:0002715,13.66667,13.75
HP:0010978,13.66667,13.75
HP:0100326,13.58333,13.66666
HP:0012393,13.66667,13.75
HP:0000708,13.58333,13.66666
HP:0000152,13.5,13.58333
HP:0000234,13.5,13.58333
HP:0000271,13.66667,13.75
HP:0000153,13.66667,13.75
HP:0031815,13.5,13.58333
HP:0100755,13.66667,13.75
HP:0003781,13.66667,13.75
HP:0002307,13.58333,13.66666
HP:0033127,12.58333,12.66666
HP:0003011,12.66667,12.75
HP:0011804,12.5,12.58333
HP:0003808,12.58333,12.66666
HP:0001252,12.66667,12.75
HP:0002017,14,14.08333
HP:0002013,14.08333,14.16666
HP:0000708,12.5,12.58333
HP:0031466,12.66667,12.75
HP:0100852,12.66667,12.75
HP:0000739,12.58333,12.66666
HP:0001626,13.58333,13.66666
HP:0011025,13.5,13.58333
HP:0030956,13.5,13.58333
HP:0500015,13.5,13.58333
HP:0003115,13.66667,13.75
HP:0001574,11.5,11.58333
HP:0000951,11.5,11.58333
HP:0011121,11.5,11.58333
HP:0011355,11.58333,11.66666
HP:0003764,11.5,11.58333
HP:0033127,13.5,13.58333
HP:0003011,13.58333,13.66666
HP:0011804,13.66667,13.75
HP:0003808,13.66667,13.75
HP:0001252,13.58333,13.66666
HP:0000708,13.25,13.33333
HP:0002360,13.33333,13.41666
